H_boundary,start_M,known_n,hidden_k,cert_base,L_min,L_offset,L_cert,decimal_digits_used_for_cert,prefix_preview,true_hidden,true_full_preview,q_cell_C_digits,decimal_range_width,prefix_condition_range_width,candidate_count_after_prefix,recovered_hidden,success,ambiguous,Amin_minus_prefix_low,Amax_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low
100000,99900,100,100,4,333,0,333,261,712790913767420805655493624646,4126002437968454377733902647251281941632007684873625176406596754069362175887930785591647877727473927,85750163634113146275...85591647877727473927,201,1,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,4126002437968454377733902647251281941632007684873625176406596754069362175887930785591647877727473927,True,False,4126002437968454377733902647251281941632007684873625176406596754069362175887930785591647877727473927,4126002437968454377733902647251281941632007684873625176406596754069362175887930785591647877727473927,4126002437968454377733902647251281941632007684873625176406596754069362175887930785591647877727473927,4126002437968454377733902647251281941632007684873625176406596754069362175887930785591647877727473927
500000,499900,100,100,4,333,0,333,261,193325290740424876025138195242,6973910175637197534300447961782504311533150675825627353434762525391425152757047878437678852418719663,53416523703165307043...78437678852418719663,201,1,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,6973910175637197534300447961782504311533150675825627353434762525391425152757047878437678852418719663,True,False,6973910175637197534300447961782504311533150675825627353434762525391425152757047878437678852418719663,6973910175637197534300447961782504311533150675825627353434762525391425152757047878437678852418719663,6973910175637197534300447961782504311533150675825627353434762525391425152757047878437678852418719663,6973910175637197534300447961782504311533150675825627353434762525391425152757047878437678852418719663
1000000,999900,100,100,4,333,0,333,261,996346460422090106105779458151,3092756283208453158465200102779723561292301260586353601164920990258745552140396979115340224158981324,03156140333212728491...79115340224158981324,199,1,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,3092756283208453158465200102779723561292301260586353601164920990258745552140396979115340224158981324,True,False,3092756283208453158465200102779723561292301260586353601164920990258745552140396979115340224158981324,3092756283208453158465200102779723561292301260586353601164920990258745552140396979115340224158981324,3092756283208453158465200102779723561292301260586353601164920990258745552140396979115340224158981324,3092756283208453158465200102779723561292301260586353601164920990258745552140396979115340224158981324
1500000,1499900,100,100,4,333,0,333,261,794715117319607737991914462295,2443520595016814213779537419131030028746318823960139328314993633816662265471213266946859790024094766,12975442171058259092...66946859790024094766,200,2,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,,False,True,2443520595016814213779537419131030028746318823960139328314993633816662265471213266946859790024094766,2443520595016814213779537419131030028746318823960139328314993633816662265471213266946859790024094767,2443520595016814213779537419131030028746318823960139328314993633816662265471213266946859790024094766,2443520595016814213779537419131030028746318823960139328314993633816662265471213266946859790024094767
10000,9900,100,100,4,333,2,335,262,959688159205600101655256375678,5667227966198857827948488558343975187445455129656344348039664205579829368043522027709842942325330225,26456001623742880210...27709842942325330225,202,1,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,5667227966198857827948488558343975187445455129656344348039664205579829368043522027709842942325330225,True,False,5667227966198857827948488558343975187445455129656344348039664205579829368043522027709842942325330225,5667227966198857827948488558343975187445455129656344348039664205579829368043522027709842942325330225,5667227966198857827948488558343975187445455129656344348039664205579829368043522027709842942325330225,5667227966198857827948488558343975187445455129656344348039664205579829368043522027709842942325330225
50000,49900,100,100,4,333,2,335,262,112718106910522900246574236041,3009369188925586578466846121567955425660541600507127664176605687427420032957716064344860620123982169,15840522953693749971...64344860620123982169,201,1,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,3009369188925586578466846121567955425660541600507127664176605687427420032957716064344860620123982169,True,False,3009369188925586578466846121567955425660541600507127664176605687427420032957716064344860620123982169,3009369188925586578466846121567955425660541600507127664176605687427420032957716064344860620123982169,3009369188925586578466846121567955425660541600507127664176605687427420032957716064344860620123982169,3009369188925586578466846121567955425660541600507127664176605687427420032957716064344860620123982169
100000,99900,100,100,4,333,2,335,262,712790913767420805655493624646,4126002437968454377733902647251281941632007684873625176406596754069362175887930785591647877727473927,85750163634113146275...85591647877727473927,202,1,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,4126002437968454377733902647251281941632007684873625176406596754069362175887930785591647877727473927,True,False,4126002437968454377733902647251281941632007684873625176406596754069362175887930785591647877727473927,4126002437968454377733902647251281941632007684873625176406596754069362175887930785591647877727473927,4126002437968454377733902647251281941632007684873625176406596754069362175887930785591647877727473927,4126002437968454377733902647251281941632007684873625176406596754069362175887930785591647877727473927
500000,499900,100,100,4,333,2,335,262,193325290740424876025138195242,6973910175637197534300447961782504311533150675825627353434762525391425152757047878437678852418719663,53416523703165307043...78437678852418719663,202,1,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,6973910175637197534300447961782504311533150675825627353434762525391425152757047878437678852418719663,True,False,6973910175637197534300447961782504311533150675825627353434762525391425152757047878437678852418719663,6973910175637197534300447961782504311533150675825627353434762525391425152757047878437678852418719663,6973910175637197534300447961782504311533150675825627353434762525391425152757047878437678852418719663,6973910175637197534300447961782504311533150675825627353434762525391425152757047878437678852418719663
1000000,999900,100,100,4,333,2,335,262,996346460422090106105779458151,3092756283208453158465200102779723561292301260586353601164920990258745552140396979115340224158981324,03156140333212728491...79115340224158981324,201,1,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,3092756283208453158465200102779723561292301260586353601164920990258745552140396979115340224158981324,True,False,3092756283208453158465200102779723561292301260586353601164920990258745552140396979115340224158981324,3092756283208453158465200102779723561292301260586353601164920990258745552140396979115340224158981324,3092756283208453158465200102779723561292301260586353601164920990258745552140396979115340224158981324,3092756283208453158465200102779723561292301260586353601164920990258745552140396979115340224158981324
1500000,1499900,100,100,4,333,2,335,262,794715117319607737991914462295,2443520595016814213779537419131030028746318823960139328314993633816662265471213266946859790024094766,12975442171058259092...66946859790024094766,201,1,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,2443520595016814213779537419131030028746318823960139328314993633816662265471213266946859790024094766,True,False,2443520595016814213779537419131030028746318823960139328314993633816662265471213266946859790024094766,2443520595016814213779537419131030028746318823960139328314993633816662265471213266946859790024094766,2443520595016814213779537419131030028746318823960139328314993633816662265471213266946859790024094766,2443520595016814213779537419131030028746318823960139328314993633816662265471213266946859790024094766
